[INIT] Bridge connectat. Preu: 83.0005 | Caixa: 86411.8
[2026-03-01 22:37:13] STATUS -> Preu: 82.57 | Caixa: 86411.8 | SOL: 0
[MAKER] Ordre LIMIT de compra col·locada: 505.984 SOL @ 82.6187. Esperant fins a 20s...
[MAKER] Compra consolidada: 505.984 SOL @ 82.62
[REPARACIÓ] Ajustant quantitat de SELL a la disponible: 505.3768192
[2026-03-01 22:37:53] STATUS -> Preu: 82.6799 | Caixa: 44607.4 | SOL: 505.377
[MAKER] Ordre LIMIT de compra col·locada: 485.916 SOL @ 82.6519. Esperant fins a 20s...
[MAKER] Temps esgotat (20s). Cancel·lant la part restant de l'ordre.
[MAKER] No s'ha aconseguit omplir res de l'ordre.
[2026-03-01 22:38:51] STATUS -> Preu: 82.47 | Caixa: 44607.4 | SOL: 505.377
[2026-03-01 22:39:22] STATUS -> Preu: 82.6528 | Caixa: 44607.4 | SOL: 505.377
[2026-03-01 22:39:54] STATUS -> Preu: 82.7205 | Caixa: 44607.4 | SOL: 505.377
[2026-03-01 22:40:25] STATUS -> Preu: 82.7996 | Caixa: 44607.4 | SOL: 505.377
[2026-03-01 22:40:56] STATUS -> Preu: 82.8405 | Caixa: 44607.4 | SOL: 505.377
[2026-03-01 22:41:27] STATUS -> Preu: 83.0538 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:41:58] STATUS -> Preu: 82.913 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:42:29] STATUS -> Preu: 82.8995 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:43:00] STATUS -> Preu: 82.8995 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:43:31] STATUS -> Preu: 82.9102 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:44:02] STATUS -> Preu: 82.956 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:44:33] STATUS -> Preu: 82.9255 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:45:03] STATUS -> Preu: 82.8954 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:45:34] STATUS -> Preu: 82.9385 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:46:05] STATUS -> Preu: 82.8688 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:46:36] STATUS -> Preu: 82.839 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:47:07] STATUS -> Preu: 82.8145 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:47:38] STATUS -> Preu: 82.6944 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:48:09] STATUS -> Preu: 82.6472 | Caixa: 53830 | SOL: 394.167
[2026-03-01 22:48:39] STATUS -> Preu: 82.6472 | Caixa: 53830 | SOL: 394.167
[MAKER] Ordre LIMIT de compra col·locada: 267.08 SOL @ 82.7266. Esperant fins a 20s...
[MAKER] Compra consolidada: 267.08 SOL @ 82.7279
[2026-03-01 22:49:12] STATUS -> Preu: 82.6046 | Caixa: 31735 | SOL: 660.885
[MAKER] Ordre LIMIT de compra col·locada: 266.438 SOL @ 82.7266. Esperant fins a 20s...
[MAKER] Compra consolidada: 266.438 SOL @ 82.7121
[2026-03-01 22:49:47] STATUS -> Preu: 82.7174 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:50:18] STATUS -> Preu: 82.7174 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:50:50] STATUS -> Preu: 82.7174 | Caixa: 9697.32 | SOL: 926.92
