[INIT] Bridge connectat. Preu: 85.5732 | Caixa: 100000
[2026-02-18 11:07:20] STATUS -> Preu: 84.089 | Caixa: 100000 | SOL: 0
[2026-02-18 11:07:51] STATUS -> Preu: 83.9343 | Caixa: 100000 | SOL: 0
[2026-02-18 11:08:22] STATUS -> Preu: 83.9343 | Caixa: 100000 | SOL: 0
[2026-02-18 11:08:53] STATUS -> Preu: 83.6865 | Caixa: 100000 | SOL: 0
[2026-02-18 11:09:24] STATUS -> Preu: 83.443 | Caixa: 100000 | SOL: 0
[2026-02-18 11:09:54] STATUS -> Preu: 83.4443 | Caixa: 100000 | SOL: 0
[2026-02-18 11:10:25] STATUS -> Preu: 83.3661 | Caixa: 100000 | SOL: 0
[2026-02-18 11:10:56] STATUS -> Preu: 83.3481 | Caixa: 100000 | SOL: 0
[2026-02-18 11:11:27] STATUS -> Preu: 83.3215 | Caixa: 100000 | SOL: 0
[2026-02-18 11:11:58] STATUS -> Preu: 83.28 | Caixa: 100000 | SOL: 0
[2026-02-18 11:12:29] STATUS -> Preu: 83.265 | Caixa: 100000 | SOL: 0
[2026-02-18 11:12:59] STATUS -> Preu: 83.2719 | Caixa: 100000 | SOL: 0
[2026-02-18 11:13:30] STATUS -> Preu: 83.3615 | Caixa: 100000 | SOL: 0
[2026-02-18 11:14:01] STATUS -> Preu: 83.3385 | Caixa: 100000 | SOL: 0
[2026-02-18 11:14:32] STATUS -> Preu: 83.463 | Caixa: 100000 | SOL: 0
[2026-02-18 11:15:03] STATUS -> Preu: 83.463 | Caixa: 100000 | SOL: 0
[2026-02-18 11:15:33] STATUS -> Preu: 83.645 | Caixa: 100000 | SOL: 0
[2026-02-18 11:16:04] STATUS -> Preu: 83.5495 | Caixa: 100000 | SOL: 0
[2026-02-18 11:16:35] STATUS -> Preu: 83.5495 | Caixa: 100000 | SOL: 0
[2026-02-18 11:17:06] STATUS -> Preu: 83.468 | Caixa: 100000 | SOL: 0
[2026-02-18 11:17:37] STATUS -> Preu: 83.5354 | Caixa: 100000 | SOL: 0
[2026-02-18 11:18:08] STATUS -> Preu: 83.5354 | Caixa: 100000 | SOL: 0
[2026-02-18 11:18:38] STATUS -> Preu: 83.493 | Caixa: 100000 | SOL: 0
[2026-02-18 11:19:09] STATUS -> Preu: 83.493 | Caixa: 100000 | SOL: 0
[2026-02-18 11:19:40] STATUS -> Preu: 83.49 | Caixa: 100000 | SOL: 0
[2026-02-18 11:20:11] STATUS -> Preu: 83.575 | Caixa: 100000 | SOL: 0
[2026-02-18 11:20:42] STATUS -> Preu: 83.575 | Caixa: 100000 | SOL: 0
[2026-02-18 11:21:13] STATUS -> Preu: 83.478 | Caixa: 100000 | SOL: 0
[2026-02-18 11:21:43] STATUS -> Preu: 83.3701 | Caixa: 100000 | SOL: 0
[2026-02-18 11:22:14] STATUS -> Preu: 83.3701 | Caixa: 100000 | SOL: 0
[2026-02-18 11:22:45] STATUS -> Preu: 83.484 | Caixa: 100000 | SOL: 0
[2026-02-18 11:23:16] STATUS -> Preu: 83.484 | Caixa: 100000 | SOL: 0
[2026-02-18 11:23:47] STATUS -> Preu: 83.484 | Caixa: 100000 | SOL: 0
[2026-02-18 11:24:18] STATUS -> Preu: 83.545 | Caixa: 100000 | SOL: 0
[2026-02-18 11:24:48] STATUS -> Preu: 83.545 | Caixa: 100000 | SOL: 0
[2026-02-18 11:25:19] STATUS -> Preu: 83.5249 | Caixa: 100000 | SOL: 0
[2026-02-18 11:25:50] STATUS -> Preu: 83.5249 | Caixa: 100000 | SOL: 0
[2026-02-18 11:26:21] STATUS -> Preu: 83.5249 | Caixa: 100000 | SOL: 0
[2026-02-18 11:26:52] STATUS -> Preu: 83.5687 | Caixa: 100000 | SOL: 0
[2026-02-18 11:27:23] STATUS -> Preu: 83.5687 | Caixa: 100000 | SOL: 0
[2026-02-18 11:27:54] STATUS -> Preu: 83.566 | Caixa: 100000 | SOL: 0
[2026-02-18 11:28:24] STATUS -> Preu: 83.566 | Caixa: 100000 | SOL: 0
[2026-02-18 11:28:55] STATUS -> Preu: 83.6485 | Caixa: 100000 | SOL: 0
[2026-02-18 11:29:26] STATUS -> Preu: 83.555 | Caixa: 100000 | SOL: 0
[2026-02-18 11:29:57] STATUS -> Preu: 83.555 | Caixa: 100000 | SOL: 0
[2026-02-18 11:30:28] STATUS -> Preu: 83.5183 | Caixa: 100000 | SOL: 0
[2026-02-18 11:30:58] STATUS -> Preu: 83.5183 | Caixa: 100000 | SOL: 0
[2026-02-18 11:31:29] STATUS -> Preu: 83.5736 | Caixa: 100000 | SOL: 0
[2026-02-18 11:32:00] STATUS -> Preu: 83.5736 | Caixa: 100000 | SOL: 0
[2026-02-18 11:32:31] STATUS -> Preu: 83.5328 | Caixa: 100000 | SOL: 0
[2026-02-18 11:33:02] STATUS -> Preu: 83.4723 | Caixa: 100000 | SOL: 0
[2026-02-18 11:33:33] STATUS -> Preu: 83.6153 | Caixa: 100000 | SOL: 0
[2026-02-18 11:34:03] STATUS -> Preu: 83.5395 | Caixa: 100000 | SOL: 0
[2026-02-18 11:34:34] STATUS -> Preu: 83.5395 | Caixa: 100000 | SOL: 0
[2026-02-18 11:35:05] STATUS -> Preu: 83.5395 | Caixa: 100000 | SOL: 0
[2026-02-18 11:35:36] STATUS -> Preu: 83.5824 | Caixa: 100000 | SOL: 0
[2026-02-18 11:36:07] STATUS -> Preu: 83.6396 | Caixa: 100000 | SOL: 0
[2026-02-18 11:36:38] STATUS -> Preu: 83.5925 | Caixa: 100000 | SOL: 0
[2026-02-18 11:37:09] STATUS -> Preu: 83.5925 | Caixa: 100000 | SOL: 0
[2026-02-18 11:37:40] STATUS -> Preu: 83.5925 | Caixa: 100000 | SOL: 0
[2026-02-18 11:38:10] STATUS -> Preu: 83.5275 | Caixa: 100000 | SOL: 0
[2026-02-18 11:38:41] STATUS -> Preu: 83.544 | Caixa: 100000 | SOL: 0
[2026-02-18 11:39:12] STATUS -> Preu: 83.544 | Caixa: 100000 | SOL: 0
[2026-02-18 11:39:43] STATUS -> Preu: 83.544 | Caixa: 100000 | SOL: 0
[2026-02-18 11:40:14] STATUS -> Preu: 83.53 | Caixa: 100000 | SOL: 0
[2026-02-18 11:40:45] STATUS -> Preu: 83.5514 | Caixa: 100000 | SOL: 0
[2026-02-18 11:41:15] STATUS -> Preu: 83.52 | Caixa: 100000 | SOL: 0
[2026-02-18 11:41:46] STATUS -> Preu: 83.52 | Caixa: 100000 | SOL: 0
[2026-02-18 11:42:17] STATUS -> Preu: 83.52 | Caixa: 100000 | SOL: 0
[2026-02-18 11:42:48] STATUS -> Preu: 83.3048 | Caixa: 100000 | SOL: 0
[2026-02-18 11:43:19] STATUS -> Preu: 83.282 | Caixa: 100000 | SOL: 0
[2026-02-18 11:43:49] STATUS -> Preu: 83.2915 | Caixa: 100000 | SOL: 0
[2026-02-18 11:44:20] STATUS -> Preu: 83.2915 | Caixa: 100000 | SOL: 0
[2026-02-18 11:44:51] STATUS -> Preu: 83.2915 | Caixa: 100000 | SOL: 0
[2026-02-18 11:45:22] STATUS -> Preu: 83.4067 | Caixa: 100000 | SOL: 0
[2026-02-18 11:45:53] STATUS -> Preu: 83.4345 | Caixa: 100000 | SOL: 0
[2026-02-18 11:46:24] STATUS -> Preu: 83.295 | Caixa: 100000 | SOL: 0
[2026-02-18 11:46:54] STATUS -> Preu: 83.2136 | Caixa: 100000 | SOL: 0
[2026-02-18 11:47:25] STATUS -> Preu: 83.2235 | Caixa: 100000 | SOL: 0
[2026-02-18 11:47:56] STATUS -> Preu: 83.12 | Caixa: 100000 | SOL: 0
[2026-02-18 11:48:27] STATUS -> Preu: 83.1978 | Caixa: 100000 | SOL: 0
[2026-02-18 11:48:58] STATUS -> Preu: 83.1757 | Caixa: 100000 | SOL: 0
[2026-02-18 11:49:29] STATUS -> Preu: 83.215 | Caixa: 100000 | SOL: 0
[2026-02-18 11:49:59] STATUS -> Preu: 83.179 | Caixa: 100000 | SOL: 0
[2026-02-18 11:50:30] STATUS -> Preu: 83.1018 | Caixa: 100000 | SOL: 0
[2026-02-18 11:51:01] STATUS -> Preu: 83.1352 | Caixa: 100000 | SOL: 0
[2026-02-18 11:51:32] STATUS -> Preu: 83.1352 | Caixa: 100000 | SOL: 0
[2026-02-18 11:52:03] STATUS -> Preu: 83.0425 | Caixa: 100000 | SOL: 0
[2026-02-18 11:52:33] STATUS -> Preu: 83.1681 | Caixa: 100000 | SOL: 0
[2026-02-18 11:53:04] STATUS -> Preu: 83.1831 | Caixa: 100000 | SOL: 0
[2026-02-18 11:53:35] STATUS -> Preu: 83.325 | Caixa: 100000 | SOL: 0
[2026-02-18 11:54:06] STATUS -> Preu: 83.3135 | Caixa: 100000 | SOL: 0
[2026-02-18 11:54:37] STATUS -> Preu: 83.3135 | Caixa: 100000 | SOL: 0
[2026-02-18 11:55:08] STATUS -> Preu: 83.3135 | Caixa: 100000 | SOL: 0
[2026-02-18 11:55:38] STATUS -> Preu: 83.3135 | Caixa: 100000 | SOL: 0
[2026-02-18 11:56:09] STATUS -> Preu: 83.3135 | Caixa: 100000 | SOL: 0
[2026-02-18 11:56:40] STATUS -> Preu: 83.3135 | Caixa: 100000 | SOL: 0
[2026-02-18 11:57:11] STATUS -> Preu: 83.2625 | Caixa: 100000 | SOL: 0
[2026-02-18 11:57:42] STATUS -> Preu: 83.1458 | Caixa: 100000 | SOL: 0
[2026-02-18 11:58:13] STATUS -> Preu: 83.0553 | Caixa: 100000 | SOL: 0
[2026-02-18 11:58:43] STATUS -> Preu: 82.9129 | Caixa: 100000 | SOL: 0
[2026-02-18 11:59:14] STATUS -> Preu: 82.8495 | Caixa: 100000 | SOL: 0
[2026-02-18 11:59:45] STATUS -> Preu: 82.8387 | Caixa: 100000 | SOL: 0
[2026-02-18 12:00:16] STATUS -> Preu: 82.7958 | Caixa: 100000 | SOL: 0
[2026-02-18 12:00:47] STATUS -> Preu: 82.9077 | Caixa: 100000 | SOL: 0
